72.0 41.0 38.0 21.0 31.0 21.0 
120.0 110.0 57.0 40.0 41.0 51.0 
60.0 46.0 31.0 20.0 20.0 17.0 
166.0 124.0 93.0 83.0 82.0 68.0 
59.0 40.0 36.0 38.0 29.0 17.0 
11.0 14.0 5.0 6.0 4.0 2.0 
83.0 45.0 33.0 32.0 33.0 29.0 
48.0 32.0 27.0 17.0 17.0 19.0 
112.0 84.0 52.0 50.0 47.0 30.0 
34.0 25.0 26.0 13.0 14.0 15.0 
103.0 76.0 53.0 39.0 40.0 34.0 
49.0 28.0 15.0 14.0 21.0 17.0 
107.0 72.0 48.0 40.0 47.0 49.0 
78.0 59.0 48.0 38.0 35.0 37.0 
33.0 28.0 21.0 19.0 15.0 23.0 
114.0 82.0 67.0 40.0 61.0 47.0 
61.0 43.0 33.0 22.0 21.0 18.0 
20.0 20.0 11.0 7.0 8.0 11.0 
41.0 33.0 25.0 11.0 19.0 18.0 
13.0 8.0 8.0 6.0 2.0 3.0 
42.0 34.0 31.0 11.0 15.0 10.0 
45.0 31.0 28.0 23.0 20.0 26.0 
44.0 33.0 28.0 15.0 26.0 14.0 
91.0 53.0 46.0 43.0 39.0 32.0 
295.0 215.0 179.0 129.0 157.0 112.0 
51.0 40.0 23.0 21.0 19.0 18.0 
115.0 81.0 61.0 49.0 58.0 42.0 
112.0 90.0 70.0 45.0 47.0 29.0 
98.0 93.0 51.0 41.0 47.0 28.0 
34.0 23.0 17.0 14.0 17.0 14.0 
91.0 76.0 54.0 35.0 53.0 39.0 
98.0 75.0 66.0 41.0 42.0 37.0 
95.0 75.0 57.0 45.0 47.0 52.0 
17.0 20.0 16.0 8.0 7.0 8.0 
11.0 9.0 8.0 7.0 4.0 3.0 
24.0 15.0 10.0 9.0 9.0 13.0 
139.0 102.0 64.0 46.0 52.0 51.0 
87.0 56.0 42.0 30.0 40.0 28.0 
11.0 4.0 8.0 5.0 2.0 3.0 
46.0 45.0 22.0 21.0 19.0 20.0 
23.0 23.0 16.0 13.0 8.0 14.0 
25.0 21.0 15.0 11.0 12.0 7.0 
3.0 6.0 3.0 4.0 6.0 3.0 
130.0 89.0 82.0 77.0 60.0 47.0 
81.0 55.0 57.0 28.0 29.0 29.0 
106.0 81.0 60.0 51.0 46.0 40.0 
7.0 12.0 6.0 4.0 8.0 4.0 
